id,batchnum,condition,case,consistency
5d482ea721c9be351f762f61,58,ind in groups,0,1
5ea7338a3ecdad5547202357,58,ind in groups,0,1
,59,group,0,0
,59,nominal,1,1
5d482ea721c9be351f762ce8,59,individual,1,1
5d482ea721c9be351f762da7,59,individual,1,1
5d482ea721c9be351f762ce8,59,ind in groups,0,0
5d482ea721c9be351f762da7,59,ind in groups,0,0
5ea798e821028d2296a4ab67,59,ind in groups,0,0
5ea7a0ae21028d2296a4ccb3,59,ind in groups,0,0
,60,group,1,1
,60,nominal,0,1
5d482ea421c9be351f7621db,60,individual,0,1
5d482ea421c9be351f762215,60,individual,0,1
5d482ea421c9be351f7622cd,60,individual,0,1
5d482ea621c9be351f76287d,60,individual,0,1
5ea76260fd339b022f9cebd6,60,individual,0,0
5ea790d221028d2296a49375,60,individual,0,1
5d482ea421c9be351f762215,60,ind in groups,1,0
5d482ea421c9be351f7622cd,60,ind in groups,1,1
5d482ea621c9be351f76287d,60,ind in groups,1,1
5ea76260fd339b022f9cebd6,60,ind in groups,1,1
5ea790d221028d2296a49375,60,ind in groups,1,1
,61,group,0,1
,61,nominal,1,0
5d482ea321c9be351f762191,61,individual,1,0
,62,group,1,1
,62,nominal,0,1
5d482ea521c9be351f76272d,62,individual,0,1
5d482ea721c9be351f76300d,62,individual,0,1
5d482ea821c9be351f763507,62,individual,0,0
5d482ea521c9be351f76272d,62,ind in groups,1,1
5d482ea721c9be351f76300d,62,ind in groups,1,1
5d482ea821c9be351f763507,62,ind in groups,1,1
,63,group,0,1
,63,nominal,1,0
5d482ea421c9be351f762324,63,individual,1,1
5d482ea421c9be351f76238f,63,individual,1,0
5d482ea621c9be351f762bac,63,individual,1,1
5d482ea721c9be351f762d8e,63,individual,1,1
5ea78bbe21028d2296a48d8c,63,individual,1,1
5d482ea421c9be351f762324,63,ind in groups,0,1
5d482ea521c9be351f76242c,63,ind in groups,0,1
5d482ea721c9be351f762d8e,63,ind in groups,0,0
5ea78bbe21028d2296a48d8c,63,ind in groups,0,1
,64,group,0,1
,64,nominal,1,1
5d482ea621c9be351f76290a,64,individual,1,1
5d482ea821c9be351f763292,64,individual,1,1
5ea75f18fd339b022f9cebb0,64,individual,1,0
5d482ea521c9be351f762725,64,ind in groups,0,1
5d482ea621c9be351f76290a,64,ind in groups,0,1
5d482ea721c9be351f76300a,64,ind in groups,0,0
5d482ea821c9be351f763292,64,ind in groups,0,0
5ea75f18fd339b022f9cebb0,64,ind in groups,0,1
,65,group,1,0
,65,nominal,0,0
5d482ea621c9be351f76278b,65,individual,0,0
5d482ea621c9be351f762b47,65,individual,0,1
5d482ea621c9be351f76278b,65,ind in groups,1,1
5d482ea621c9be351f762852,65,ind in groups,1,0
,66,group,1,0
,66,nominal,0,0
5d482ea721c9be351f762f97,66,ind in groups,1,0
5d482ea821c9be351f7631bd,66,ind in groups,1,0
5d482ea821c9be351f7634a7,66,ind in groups,1,1
5d482ea921c9be351f76366e,66,ind in groups,1,0
