"","id","batchnum","condition","case","consistency","Segment"
"299","5d482eaa21c9be351f763ae5",20,"individual",1,0,"Before"
"300","5d482eaa21c9be351f763b64",20,"individual",1,0,"Before"
"301","5d482eaa21c9be351f763c0e",20,"individual",1,1,"Before"
"302","5d482eaa21c9be351f763dc7",20,"individual",1,0,"Before"
"303","5d482eaa21c9be351f763db1",20,"individual",1,0,"Before"
"304","5e9f44049dc0406f898789b2",20,"individual",1,1,"Before"
"305","5d482ea921c9be351f7638f9",20,"ind in groups",0,0,"Before"
"306","5d482eaa21c9be351f763af2",20,"ind in groups",0,0,"Before"
"307","5d482eaa21c9be351f763ae5",20,"ind in groups",0,0,"Before"
"308","5d482eaa21c9be351f763b64",20,"ind in groups",0,1,"Before"
"309","5d482eaa21c9be351f763c0e",20,"ind in groups",0,0,"Before"
"310","5d482eaa21c9be351f763dc7",20,"ind in groups",0,1,"Before"
"311","5d482eaa21c9be351f763db1",20,"ind in groups",0,1,"Before"
"312","5e9f44049dc0406f898789b2",20,"ind in groups",0,1,"Before"
"313","",21,"group",1,1,"Before"
"314","",21,"nominal",0,1,"Before"
"315","5d482ea921c9be351f763808",21,"individual",0,0,"Before"
"316","5d482eaa21c9be351f763a45",21,"individual",0,1,"Before"
"317","5d482eaa21c9be351f763ba2",21,"individual",0,0,"Before"
"318","5e9f4d469dc0406f8987a196",21,"individual",0,0,"Before"
"319","5ea076269dc0406f8987dbf8",21,"individual",0,1,"Before"
"320","5ea07d9c9dc0406f89880001",21,"individual",0,1,"Before"
"321","5d482ea921c9be351f763808",21,"ind in groups",1,1,"Before"
"322","5d482eaa21c9be351f763a45",21,"ind in groups",1,1,"Before"
"323","5d482eaa21c9be351f763ba2",21,"ind in groups",1,1,"Before"
"324","5e9f4d469dc0406f8987a196",21,"ind in groups",1,1,"Before"
"325","5ea076269dc0406f8987dbf8",21,"ind in groups",1,1,"Before"
"326","5ea07d9c9dc0406f89880001",21,"ind in groups",1,1,"Before"
"327","",22,"group",1,1,"Before"
"328","",22,"nominal",0,0,"Before"
"329","5d482ea921c9be351f7637e0",22,"individual",0,1,"Before"
"330","5d482eaa21c9be351f763da6",22,"individual",0,1,"Before"
"331","5d482eab21c9be351f763df6",22,"individual",0,0,"Before"
"332","5ea098d69dc0406f89883084",22,"individual",0,1,"Before"
"333","5ea0998a9dc0406f8988308f",22,"individual",0,1,"Before"
"334","5ea099d09dc0406f898830a9",22,"individual",0,1,"Before"
"335","5d482ea921c9be351f7637e0",22,"ind in groups",1,1,"Before"
"336","5d482eaa21c9be351f763cc6",22,"ind in groups",1,0,"Before"
"337","5d482eaa21c9be351f763da6",22,"ind in groups",1,1,"Before"
"338","5d482eab21c9be351f763df6",22,"ind in groups",1,1,"Before"
